time_s,baseline_g,auto_g,saved_g,saved_pct,alpha
1047600.0,3670.37,1197.49,2472.89,67.37,0.6
1051200.0,582.9,203.77,379.13,65.04,0.5
1054800.0,1774.48,988.92,785.56,44.27,0.4
1058400.0,3516.43,1856.18,1660.25,47.21,0.6
1062000.0,4218.15,2132.94,2085.21,49.43,0.5
1065600.0,5070.7,2501.53,2569.17,50.67,0.4
1069200.0,4320.19,3508.65,811.54,18.78,0.7
1072800.0,1355.72,853.91,501.81,37.01,0.5
1076400.0,4601.33,435.42,4165.91,90.54,0.6
1080000.0,3666.67,2269.35,1397.32,38.11,0.6
1083600.0,2885.16,2414.39,470.77,16.32,0.6
1087200.0,9941.75,2588.53,7353.23,73.96,0.6
1090800.0,5779.93,4257.54,1522.4,26.34,0.4
1094400.0,6732.91,1536.28,5196.63,77.18,0.4
1098000.0,7439.55,3754.25,3685.3,49.54,0.6
1101600.0,1825.86,1132.38,693.49,37.98,0.6
1105200.0,1381.99,208.02,1173.97,84.95,0.4
1108800.0,2801.77,1341.74,1460.03,52.11,0.6
1112400.0,4708.7,831.45,3877.25,82.34,0.7
1116000.0,1563.61,228.67,1334.94,85.38,0.4
1119600.0,5262.43,2846.85,2415.57,45.9,0.7
1123200.0,6028.06,3955.16,2072.89,34.39,0.6
1126800.0,3000.89,1095.91,1904.99,63.48,0.1
1130400.0,1423.42,228.99,1194.43,83.91,0.6
1134000.0,4009.85,2047.46,1962.4,48.94,0.5
1137600.0,4427.48,3426.55,1000.93,22.61,0.7
1141200.0,3654.84,1906.74,1748.09,47.83,0.6
1144800.0,2420.48,1454.56,965.92,39.91,0.4
1148400.0,3668.33,2347.1,1321.23,36.02,0.4
1152000.0,1853.55,1540.88,312.66,16.87,0.5
1155600.0,3647.08,2607.48,1039.61,28.51,0.7
1159200.0,3046.67,502.04,2544.63,83.52,0.8
1162800.0,3324.74,623.81,2700.93,81.24,0.9
1166400.0,926.12,765.92,160.2,17.3,0.1
1170000.0,444.5,360.55,83.95,18.89,0.4
1173600.0,768.12,368.04,400.08,52.09,0.6
1177200.0,4835.61,917.57,3918.05,81.02,0.4
1180800.0,2504.81,1699.74,805.07,32.14,0.5
1184400.0,5587.79,2997.29,2590.51,46.36,0.5
1188000.0,3341.39,1829.32,1512.07,45.25,0.5
1191600.0,1955.81,767.81,1188.0,60.74,0.5
1195200.0,8198.06,2461.15,5736.91,69.98,0.4
1198800.0,4927.48,3020.54,1906.94,38.7,0.6
1202400.0,8034.69,2866.97,5167.73,64.32,0.4
1206000.0,1418.21,887.05,531.15,37.45,0.6
1209600.0,1811.78,788.33,1023.45,56.49,0.6
1213200.0,3791.85,1406.6,2385.25,62.9,0.1
1216800.0,2945.98,841.91,2104.07,71.42,0.4
1220400.0,3577.89,2488.98,1088.91,30.43,0.7
1224000.0,2382.38,1856.82,525.56,22.06,0.4
1227600.0,5309.67,2859.91,2449.76,46.14,0.5
1231200.0,3626.89,917.63,2709.26,74.7,0.5
1234800.0,3688.57,2145.51,1543.06,41.83,0.6
1238400.0,3329.16,2468.37,860.79,25.86,0.4
1242000.0,2242.57,1481.12,761.45,33.95,0.5
1245600.0,2158.61,1919.82,238.78,11.06,0.3
1249200.0,2726.68,1680.81,1045.86,38.36,0.4
1252800.0,2964.84,1562.21,1402.63,47.31,0.6
1256400.0,3614.61,2057.4,1557.21,43.08,0.5
1260000.0,3528.55,1028.47,2500.08,70.85,0.7
1263600.0,6994.63,3280.24,3714.4,53.1,0.6
1267200.0,1091.59,234.07,857.52,78.56,0.4
1270800.0,5288.56,2310.58,2977.99,56.31,0.5
1274400.0,3232.0,1648.09,1583.91,49.01,0.5
1278000.0,4059.0,1771.11,2287.89,56.37,0.4
1281600.0,4151.31,1387.52,2763.79,66.58,0.4
1285200.0,1334.28,329.77,1004.52,75.29,0.4
1288800.0,3014.64,1572.12,1442.52,47.85,0.4
1292400.0,4166.44,1263.48,2902.96,69.67,0.1
1296000.0,5164.28,1326.99,3837.28,74.3,0.1
1299600.0,7406.06,5253.07,2153.0,29.07,0.6
1303200.0,469.51,146.2,323.31,68.86,0.6
1306800.0,2011.12,469.63,1541.49,76.65,0.1
1310400.0,765.36,718.53,46.84,6.12,0.4
1314000.0,2295.44,1095.93,1199.51,52.26,0.4
1317600.0,7941.2,3907.36,4033.84,50.8,0.5
1321200.0,7876.91,5233.79,2643.12,33.56,0.5
1324800.0,3532.0,1564.34,1967.66,55.71,0.9
1328400.0,1503.6,1369.63,133.97,8.91,0.6
1332000.0,2855.46,1193.4,1662.05,58.21,0.6
1335600.0,4370.58,552.19,3818.39,87.37,0.4
1339200.0,4756.55,2333.66,2422.88,50.94,0.6
1342800.0,466.44,244.66,221.78,47.55,0.6
1346400.0,11666.0,4794.05,6871.95,58.91,0.6
1350000.0,2064.58,1530.39,534.2,25.87,0.6
1353600.0,6185.24,1805.65,4379.58,70.81,0.6
1357200.0,2544.87,590.01,1954.86,76.82,0.8
1360800.0,3121.49,2173.95,947.54,30.36,0.5
1364400.0,2254.2,302.1,1952.1,86.6,0.5
1368000.0,6226.7,1872.26,4354.45,69.93,0.4
1371600.0,1332.91,523.96,808.95,60.69,0.6
1375200.0,2759.3,426.1,2333.2,84.56,0.1
1378800.0,1524.02,146.46,1377.56,90.39,0.4
1382400.0,2816.86,1049.18,1767.68,62.75,0.6
